,NAICS.id,YEAR.id,ESTAB,CERT,DOCKET,ACTIVE,CHANGEC1,CHANGEC2,CHANGEC3,CHANGEC4,CHANGEC5,CHARTER,CLCODE,CMSA_NO,DENOVO,FDICDBS,FED,FED_RSSD,FEDCHRTR,IBA,INACTIVE,INSTCRCD,INSBIF,INSCOML,INSDIF,INSFDIC,INSSAIF,INSSAVE,MSA_NO,NEWCERT,OAKAR,OTSDIST,QBPRCOML,STCHRTR,SASSER,STCNTY,STNUM,SUPRV_FD,OCCDIST,UNINUM,ULTCERT,CFPBFLAG,REGAGENT2,CERTCONS,PARCERT,FORM31,HCTMULT,INSTAG,MUTUAL,RSSDHCR,STMULT,SUBCHAPS,TRUST,SPECGRP,TRACT,CSA_NO,CSA_FLG,CBSA_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_MICRO_FLG,CBSA_DIV_NO,CBSA_DIV_FLG,CB
1468,0,2016,884,16068,0,1,525,0,0,0,0,0,41,70,0,2,2,249612,0,0,0,0,0,0,1,1,0,1,5380,0,0,1,1,1,0,36059,36,2,1,10290,16068,1,0,0,0,0,0,0,0,3446412,0,0,0,4,0,408,1,35620,35620,1,0,35004,1,1
1469,0,2016,884,16068,0,1,525,0,0,0,0,0,41,70,0,2,2,249612,0,0,0,0,0,0,1,1,0,1,5380,0,0,1,1,1,0,36059,36,2,1,10290,16068,1,0,0,0,0,0,0,0,3446412,0,0,0,4,0,408,1,35620,35620,1,0,35004,1,1
1470,0,2016,1589,58675,0,1,0,0,0,0,0,0,21,70,0,2,2,3793714,0,0,0,0,0,1,1,1,0,0,5380,0,0,1,1,1,0,36059,36,2,1,462666,58675,0,0,0,0,0,0,0,0,5010134,0,0,0,4,0,408,1,35620,35620,1,0,35004,1,1
1471,0,2016,1589,58675,0,1,0,0,0,0,0,0,21,70,0,2,2,3793714,0,0,0,0,0,1,1,1,0,0,5380,0,0,1,1,1,0,36059,36,2,1,462666,58675,0,0,0,0,0,0,0,0,5010134,0,0,0,4,0,408,1,35620,35620,1,0,35004,1,1
1472,0,2016,1589,58675,0,1,0,0,0,0,0,0,21,70,0,2,2,3793714,0,0,0,0,0,1,1,1,0,0,5380,0,0,1,1,1,0,36059,36,2,1,462666,58675,0,0,0,0,0,0,0,0,5010134,0,0,0,4,0,408,1,35620,35620,1,0,35004,1,1
1473,0,2016,1589,58675,0,1,0,0,0,0,0,0,21,70,0,2,2,3793714,0,0,0,0,0,1,1,1,0,0,5380,0,0,1,1,1,0,36059,36,2,1,462666,58675,0,0,0,0,0,0,0,0,5010134,0,0,0,4,0,408,1,35620,35620,1,0,35004,1,1
1474,0,2016,1589,58675,0,1,0,0,0,0,0,0,21,70,0,2,2,3793714,0,0,0,0,0,1,1,1,0,0,5380,0,0,1,1,1,0,36059,36,2,1,462666,58675,0,0,0,0,0,0,0,0,5010134,0,0,0,4,0,408,1,35620,35620,1,0,35004,1,1
1475,0,2016,1589,58675,0,1,0,0,0,0,0,0,21,70,0,2,2,3793714,0,0,0,0,0,1,1,1,0,0,5380,0,0,1,1,1,0,36059,36,2,1,462666,58675,0,0,0,0,0,0,0,0,5010134,0,0,0,4,0,408,1,35620,35620,1,0,35004,1,1
1476,0,2016,1589,58675,0,1,0,0,0,0,0,0,21,70,0,2,2,3793714,0,0,0,0,0,1,1,1,0,0,5380,0,0,1,1,1,0,36059,36,2,1,462666,58675,0,0,0,0,0,0,0,0,5010134,0,0,0,4,0,408,1,35620,35620,1,0,35004,1,1
1477,0,2016,1242,29171,3036,0,221,999,999,0,0,0,38,70,0,2,2,967176,1,0,1,0,0,0,0,1,1,1,5380,16011,0,1,1,0,0,36059,36,2,1,42005,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1,35620,35620,1,0,35004,1,0
